user_idx,anime_idx,anime_id,rating
460,2738,21507,8.5
13,2260,20605,9.0
176,1310,140660,8.0
559,3564,8074,9.0
740,1072,128546,7.0
203,1736,1604,7.0
641,354,104461,10.0
289,2663,21355,10.0
21,3764,97592,70.0
277,221,101921,4.0
604,2492,20997,8.5
249,1226,136428,6.0
77,1586,1536,8.0
272,2508,21038,8.0
2,2899,21858,82.0
147,2170,20444,100.0
22,2576,21189,1.0
299,2645,21319,6.0
412,100,100922,8.2
579,2487,20992,3.0
408,1139,131573,7.0
69,1685,15775,8.0
28,1031,126791,6.0
605,775,114535,2.0
497,1063,127911,7.0
616,3119,392,8.0
100,3698,9130,8.1
572,722,113415,9.0
575,146,101291,9.0
188,17,100182,5.0
575,2836,21719,9.0
488,1828,16592,8.5
31,2676,21378,7.0
47,2396,20811,70.0
387,1198,13469,7.0
321,3103,376,8.0
149,2115,19391,7.0
425,1790,163270,8.0
548,2681,21385,4.0
426,1887,16894,4.0
89,2033,182,7.0
587,340,104276,9.0
329,2484,20987,9.0
574,59,100643,2.0
249,1517,15051,7.0
136,650,11135,8.0
726,2487,20992,10.0
426,2926,227,4.0
686,3962,9919,6.0
528,3431,6547,91.0
279,964,12413,6.0
77,1739,16049,8.0
307,3785,97672,7.199999999999999
21,1977,17549,70.0
243,400,105333,5.0
340,2470,20958,5.0
290,1815,16498,9.5
424,912,12115,8.0
0,2211,20519,5.0
391,2180,20458,7.0
164,314,103874,7.0
73,3740,9617,3.0
586,1002,125428,6.0
502,2534,21087,3.0
605,321,104052,3.0
90,3834,97983,75.0
556,695,112641,10.0
273,2381,20789,8.0
424,3982,99423,6.0
611,763,114236,6.0
535,695,112641,10.0
426,2842,21733,5.0
14,2780,21614,3.0
643,3464,68,10.0
73,3264,5030,3.0
362,2697,21421,5.0
617,3881,98444,7.0
312,3959,99147,9.0
176,1344,142074,8.5
313,2532,21078,6.0
531,3484,7054,8.4
229,33,10030,7.5
229,2532,21078,4.5
122,2661,21348,5.0
4,3165,4224,8.0
671,2066,18679,4.0
309,1610,154587,10.0
60,2470,20958,6.0
602,1895,16934,8.0
243,3,100049,5.0
11,1333,141774,6.0
236,818,116742,9.0
130,1681,1575,10.0
408,3678,900,6.0
260,1801,164,9.0
271,862,118375,6.0
95,2564,21170,3.0
106,2446,20912,80.0
129,3985,99426,10.0
233,2199,205,10.0
73,106,101,2.0
203,186,101506,8.0
309,789,115113,7.0
130,1084,12893,7.0
650,2454,20931,7.800000000000001
64,2252,20596,7.0
289,3999,99578,10.0
414,2564,21170,9.0
462,3275,5114,9.0
677,3036,31,3.0
147,3492,71,75.0
608,1366,142876,7.0
177,3669,8937,9.0
232,2686,21399,9.0
77,2782,21626,7.0
166,3832,97980,9.0
682,2917,223,3.0
387,991,125038,6.5
570,475,107339,60.0
660,2379,20783,10.0
562,3720,936,6.0
14,773,114446,8.0
271,538,108553,9.0
716,2746,21518,10.0
73,1730,160090,2.0
371,222,101922,78.0
608,888,120120,5.0
51,2144,20,9.0
477,137,101231,7.0
345,2393,20806,9.0
353,3352,578,7.0
21,2897,21856,90.0
331,3141,4081,9.0
140,2926,227,10.0
86,221,101921,7.5
